event_message,id,timestamp
"ClientHandler: Circuit breaker open for operation: auth_error, blocked until: 1776015569",d8ce70ef-7c85-4c42-891b-2a1dbac7caf6,1776015119069530
Detecting IP version for 2a05:d014:1c06:5f45:be2c:df34:7576:498c,0ad28553-dfb1-4f4c-8b54-bca52e403185,1776015119060617
"ClientHandler: secret checker not started, starting a new database connection",c3556907-9116-4a70-a699-56d2e903c012,1776015119060512
"ClientHandler: Circuit breaker open for operation: auth_error, blocked until: 1776015534",5e94f3cd-3101-4c97-afbf-29ecfe955b86,1776015119003159
Detecting IP version for 2a05:d014:1c06:5f45:be2c:df34:7576:498c,855a6de0-bfb5-44f1-af10-6aa9bc337e2c,1776015118991810
"ClientHandler: secret checker not started, starting a new database connection",cc174446-ca3d-4675-a1b4-5ce5b307e4da,1776015118991673
"ClientHandler: Circuit breaker open for operation: auth_error, blocked until: 1776015534",a4a78691-b9fe-43be-940d-d6a865d78e84,1776015118845898
Detecting IP version for 2a05:d014:1c06:5f45:be2c:df34:7576:498c,8a6502be-4d7e-4fb4-8b3d-a4c434f598f3,1776015118835913
"ClientHandler: secret checker not started, starting a new database connection",29cc11bb-cefd-4dc5-935f-74e4207662b7,1776015118835815
"ClientHandler: Circuit breaker open for operation: auth_error, blocked until: 1776015569",1c4a2de4-b3c1-4f2c-ae5c-f7d5b470ff84,1776015118776113
Detecting IP version for 2a05:d014:1c06:5f45:be2c:df34:7576:498c,c6af6f83-0624-4eec-8e32-e4711669083c,1776015118767008
"ClientHandler: secret checker not started, starting a new database connection",eca7e41e-b795-4028-8cf7-889aedeae0c6,1776015118766892
"ClientHandler: Circuit breaker open for operation: auth_error, blocked until: 1776015534",aaddf994-0154-4533-b9fc-1060ddee9e70,1776015118648281
Detecting IP version for 2a05:d014:1c06:5f45:be2c:df34:7576:498c,9eb1545a-e3db-495d-bf2b-797f5e941379,1776015118637140
"ClientHandler: secret checker not started, starting a new database connection",1d175b5d-2533-4515-a98a-1c6f45c5dbbb,1776015118637031
"ClientHandler: Circuit breaker open for operation: auth_error, blocked until: 1776015534",e078ad3c-41ba-4d96-b36d-815bb7a2ce44,1776015118532204
